DATUM,STATIONS_ID,MESS_DATUM,QN_952,SD_DUETT,SD_UN_DUETT,eor
2024-04-17 04:00:00,18379,2024041704,500,0,0,eor
2024-04-17 05:00:00,18379,2024041705,502,0,0,eor
2024-04-17 06:00:00,18379,2024041706,503,0,0,eor
2024-04-17 07:00:00,18379,2024041707,503,0,0,eor
2024-04-17 08:00:00,18379,2024041708,503,0,0,eor
2024-04-17 09:00:00,18379,2024041709,503,0,0,eor
2024-04-17 10:00:00,18379,2024041710,503,0,0,eor
2024-04-17 11:00:00,18379,2024041711,503,0,0,eor
2024-04-17 12:00:00,18379,2024041712,503,0,0,eor
2024-04-17 13:00:00,18379,2024041713,503,4,6,eor
2024-04-17 14:00:00,18379,2024041714,503,60,0,eor
2024-04-17 15:00:00,18379,2024041715,503,48,12,eor
2024-04-17 16:00:00,18379,2024041716,503,9,7,eor
2024-04-17 17:00:00,18379,2024041717,503,0,2,eor
2024-04-17 18:00:00,18379,2024041718,503,0,0,eor
2024-04-17 19:00:00,18379,2024041719,502,0,0,eor
2024-04-17 20:00:00,18379,2024041720,500,0,0,eor
2024-04-17 21:00:00,18379,2024041721,500,0,0,eor
2024-04-17 22:00:00,18379,2024041722,500,0,0,eor
2024-04-17 23:00:00,18379,2024041723,500,0,0,eor
2024-04-18 00:00:00,18379,2024041800,500,0,0,eor
2024-04-18 01:00:00,18379,2024041801,500,0,0,eor
2024-04-18 02:00:00,18379,2024041802,500,0,0,eor
2024-04-18 03:00:00,18379,2024041803,500,0,0,eor
2024-04-18 04:00:00,18379,2024041804,500,0,0,eor
2024-04-18 05:00:00,18379,2024041805,502,0,0,eor
2024-04-18 06:00:00,18379,2024041806,503,0,0,eor
2024-04-18 07:00:00,18379,2024041807,503,0,0,eor
2024-04-18 08:00:00,18379,2024041808,503,0,0,eor
2024-04-18 09:00:00,18379,2024041809,503,0,0,eor
2024-04-18 10:00:00,18379,2024041810,503,45,5,eor
2024-04-18 11:00:00,18379,2024041811,503,0,0,eor
2024-04-18 12:00:00,18379,2024041812,503,20,13,eor
2024-04-18 13:00:00,18379,2024041813,503,9,6,eor
2024-04-18 14:00:00,18379,2024041814,503,27,0,eor
2024-04-18 15:00:00,18379,2024041815,503,0,0,eor
2024-04-18 16:00:00,18379,2024041816,503,25,5,eor
2024-04-18 17:00:00,18379,2024041817,503,60,0,eor
2024-04-18 18:00:00,18379,2024041818,503,58,2,eor
2024-04-18 19:00:00,18379,2024041819,502,1,2,eor
2024-04-18 20:00:00,18379,2024041820,500,0,0,eor
